    交易日期    |    交易方向    |   股票代码    |   成交均价   |   成交数量   |   手续费   
---------------------------------------------------------------------------
[2020-07-14]  卖出 (SELL)  | 300124.SZ | ¥  49.60 |    -2886 股 | ¥214.7184
[2020-07-14]  卖出 (SELL)  | 600436.SH | ¥ 198.32 |     -649 股 | ¥193.0645
[2020-07-14]  卖出 (SELL)  | 300347.SZ | ¥ 115.00 |    -1165 股 | ¥200.9625
[2020-07-14]  买入 (BUY)   | 600900.SH | ¥  19.10 |      929 股 | ¥26.6159
[2020-07-14]  买入 (BUY)   | 603259.SH | ¥ 104.39 |       36 股 | ¥5.6371
[2020-07-14]  买入 (BUY)   | 600276.SH | ¥  99.80 |       89 股 | ¥13.3233
[2020-07-14]  买入 (BUY)   | 300073.SZ | ¥  35.02 |     3609 股 | ¥189.5808
[2020-07-14]  买入 (BUY)   | 601012.SH | ¥  47.60 |     2708 股 | ¥193.3512
[2020-07-14]  买入 (BUY)   | 600690.SH | ¥  18.38 |     1094 股 | ¥30.1616
[2020-07-14]  买入 (BUY)   | 002456.SZ | ¥  22.40 |     5838 股 | ¥196.1568
[2020-07-14]  买入 (BUY)   | 002008.SZ | ¥  41.04 |     3112 股 | ¥191.5747
[2020-07-14]  买入 (BUY)   | 600570.SH | ¥ 118.01 |     1086 股 | ¥192.2383
[2020-07-14]  买入 (BUY)   | 601127.SH | ¥   9.34 |    13788 股 | ¥193.1699
[2020-07-21]  ⚠️ 订单失败 (资金不足/停牌) | 股票: 300347.SZ
[2020-07-21]  卖出 (SELL)  | 601012.SH | ¥  48.20 |    -2708 股 | ¥195.7884
[2020-07-21]  卖出 (SELL)  | 603259.SH | ¥ 103.00 |    -1227 股 | ¥189.5715
[2020-07-21]  卖出 (SELL)  | 601127.SH | ¥   9.03 |   -13788 股 | ¥186.7585
[2020-07-21]  卖出 (SELL)  | 600276.SH | ¥  97.40 |    -1291 股 | ¥188.6151
[2020-07-21]  卖出 (SELL)  | 002456.SZ | ¥  19.00 |    -5838 股 | ¥166.3830
